#GeneID	Ensembl_gene_identifier	RefSeqGene	RNA_nucleotide_accessions
9851	ENSG00000198920	NG_054885	NM_001351225,NM_014804,NR_147086,NR_147087,NR_147088,XM_006721612,XM_011524090,XM_011524091,XM_011524095,XM_011524096,XM_011524098,XM_011524099,XM_011524100,XM_017025455,XR_001752707,XR_001752708,XR_001752709,XR_934126
9852	ENSG00000178567	NG_008418	NM_014805
9853	ENSG00000198853	-	NM_001135999,NM_001330740,NM_014806,NR_052015
9854	ENSG00000172375	-	NM_001290474,NM_001382611,NM_001382612,NM_001382613,NM_014807,XM_006718948,XM_011543076,XM_017018626,XM_017018627,XM_017018628,XR_001748053,XR_001748054
9855	ENSG00000006607	-	NM_001282983,NM_001282984,NM_014808,XM_005247050,XM_011512233,XM_011512234,XM_011512235,XM_011512236,XM_017005417,XM_017005419,XM_017005420,XM_024453259
9856	ENSG00000137261	NG_016206	NM_001168374,NM_001168375,NM_001168376,NM_001168377,NM_001252328,NM_001350403,NM_001350404,NM_001350405,NM_001350406,NM_001350407,NM_001350408,NM_001350409,NM_001350410,NM_014809,XM_011515026,XM_017011541,XM_017011542,XM_017011544,XM_017011546,XM_017011547,XM_017011550,XM_017011551,XR_001743779,XR_001743780
9857	ENSG00000135837	-	NM_014810,XM_011510191,XM_011510198,XM_017002929,XM_017002930,XM_017002931
9858	ENSG00000196422	-	NM_014811,XM_005263411,XM_017015355,XM_017015356,XM_017015357,XM_017015358,XM_017015359,XM_017015360,XM_017015361,XM_017015362,XM_024447721
9859	ENSG00000143702	NG_029663	NM_001042404,NM_001042405,NM_014812,XM_006711843,XM_011544334,XM_011544335,XM_011544336,XM_011544337,XM_011544338,XM_011544339,XM_011544340,XM_011544341,XM_011544342,XM_011544343,XM_011544344,XM_017002932,XM_017002933,XM_017002934,XM_017002935,XM_017002936,XM_017002937,XM_017002938,XM_017002939,XM_017002940,XM_017002941,XM_017002942,XM_017002943,XM_017002944,XM_017002945,XM_017002946,XM_017002947,XM_017002948,XM_017002949,XM_017002950,XM_017002951
9860	ENSG00000198799	NG_042819	NM_001312686,NM_014813,XM_005271369,XM_017002952,XM_024451227,XM_024451231
9861	ENSG00000163636	-	NM_001271779,NM_001271780,NM_001271781,NM_014814,XM_005265619,XM_011534288,XM_017007569,XM_024453841
9862	ENSG00000008838	-	NM_001079518,NM_001267797,NM_001330211,NM_014815,NR_052017
9863	ENSG00000187391	NG_011487	NM_001301128,NM_012301,XM_011516718,XM_011516719,XM_011516720,XM_011516726,XM_011516728,XM_017012840,XM_017012841,XM_017012842,XM_017012843,XM_017012844,XM_017012845,XM_017012846,XM_017012847,XM_017012848,XM_017012849,XM_017012850,XM_017012851,XM_017012852,XM_024447009
9865	ENSG00000255690	-	NM_014817
9866	ENSG00000166436	-	NM_001388022,NM_001388023,NM_014818,XM_006718397,XM_006718398,XM_011520504,XM_011520507,XM_011520508,XM_011520509,XM_011520510,XM_011520511,XM_011520512,XM_011520513,XM_011520514,XM_011520515,XM_011520516,XM_011520517,XM_011520518,XM_011520519,XM_011520522,XM_011520523,XM_011520524,XM_011520525,XM_011520526,XM_011520527,XM_017018629,XM_017018630,XM_017018631,XR_930929,XR_930930,XR_930931
9867	ENSG00000198961	-	NM_014819,XM_017010099
9868	ENSG00000154174	-	NM_014820
9869	ENSG00000143379	-	NM_001145415,NM_001243491,NM_001366417,NM_001366418,NM_012432,XM_017002955
9870	ENSG00000119682	-	NM_001039479,XM_005268244,XM_006720344,XM_011537415,XM_011537416,XM_011537417,XR_001750615
9871	ENSG00000150961	NG_042032	NM_001318066,NM_014822,XM_005263379,XM_017008875,XM_024454293
9873	ENSG00000137478	-	NM_014824,XM_011545409,XM_011545410,XM_017018632,XR_001748055
9874	ENSG00000198586	-	NM_001136554,NM_001136555,NM_012290,XM_011512238,XM_017005422,XM_024453261,XM_024453262,XR_001739084,XR_001739085
9875	ENSG00000142207	-	NM_014825
9877	ENSG00000058673	-	NM_001319238,NM_001319239,NM_001350261,NM_001350262,NM_001350263,NM_001350264,NM_001350265,NM_001350266,NM_001376334,NM_001376335,NM_001376336,NM_001376337,NM_001376338,NM_001376339,NM_001376340,NM_001376341,NM_001376342,NM_001376343,NM_001376344,NM_001376345,NM_001376346,NM_001376347,NM_001376348,NM_001376349,NM_001376350,NM_001376351,NM_001376352,NM_001376353,NM_001376354,NM_001376355,NM_001376356,NM_001376357,NM_001376358,NM_001376359,NM_001376360,NM_001376361,NM_001376362,NM_001376363,NM_001376364,NM_001376365,NM_001376366,NM_001376367,NM_014827,XM_011510201,XM_017002959
9878	ENSG00000092203	-	NM_001303523,NM_014828
9879	ENSG00000145833	-	NM_001300860,NM_014829,NR_125341,XM_011543758,XR_948313,XR_948314
9880	ENSG00000166860	-	NM_014830
9881	ENSG00000168016	-	NM_001329998,NM_014831,XM_011534289,XM_017007570,XM_017007571,XM_017007572,XM_017007573,XR_001740389,XR_001740390
9882	ENSG00000136111	NG_042850	NM_001286658,NM_001286659,NM_014832,XM_005266603,XM_005266605,XM_006719903,XM_011535331,XM_017020882,XM_017020883,XM_017020884
9883	ENSG00000196313	-	NM_001257190,NM_001367610,NM_001387685,NM_001387686,NM_001387687,NM_001387688,NM_001387689,NM_001387691,NM_001387692,NM_001387693,NM_001387694,NM_001387695,NM_001387696,NM_001387697,NM_001387698,NM_001387699,NM_001387700,NM_001387701,NM_001387702,NM_001387703,NM_001387704,NM_001387705,NM_172020,XM_005250726,XM_005250727,XM_006716196,XM_011516730,XM_017012853,XM_017012854
9884	ENSG00000176681	-	NM_014834
9885	ENSG00000130703	NG_042164	NM_001278649,NM_001363878,NM_014835,NM_144498
9886	ENSG00000072422	-	NM_001242359,NM_001350902,NM_001350903,NM_001350904,NM_001350905,NM_001350906,NM_001350907,NM_001350908,NM_001350909,NM_001350910,NM_001350911,NM_014836,XM_006718085,XM_011540424,XM_011540425,XM_011540426,XM_011540428,XM_017017000,XM_017017002,XM_024448270,XM_024448271,XM_024448272,XM_024448273,XR_001747268,XR_945894,XR_945895
9887	ENSG00000116698	NG_029808	NM_001174061,NM_001331007,NM_001350219,NM_001350220,NM_001350221,NM_001350222,NM_001375584,NM_001375585,NM_173156,NM_201568,NM_201569,XM_005245649,XM_005245653,XM_011510205,XM_011510206,XM_011510207,XM_011510208,XM_011510209,XM_011510210,XM_017002968,XM_017002969,XM_017002970
9889	ENSG00000100426	-	NM_014838,XM_024452312
9890	ENSG00000117600	-	NM_001166252,NM_014839,XM_011542498
9891	ENSG00000074590	-	NM_014840
9892	ENSG00000065609	-	NM_001242792,NM_001242793,NM_001242794,NM_001256717,NM_001256718,NM_001363677,NM_001376675,NM_001376676,NM_001376677,NM_001376678,NM_001376679,NM_001376680,NM_001376681,NM_001376682,NM_001376683,NM_001376684,NM_001376685,NM_001376686,NM_001376687,NM_001376688,NM_001376689,NM_001376690,NM_001376691,NM_001376692,NM_001376693,NM_001376694,NM_001376695,NM_001376696,NM_001376697,NM_001376698,NM_001376699,NM_001376700,NM_001376701,NM_001376702,NM_001376703,NM_001376704,NM_001376705,NM_001376706,NM_001376707,NM_001376708,NM_001376709,NM_001376710,NM_001376711,NM_001376712,NM_001376713,NM_001376714,NM_001376715,NM_001376716,NM_001376717,NM_001376718,NM_001376719,NM_001376720,NM_001376721,NM_001376723,NM_001376726,NM_001376728,NM_001376731,NM_001376733,NM_001376734,NM_001376735,NM_001376736,NM_001376737,NM_001376738,NM_001376739,NM_001376740,NM_001376741,NM_001376742,NM_014841,NR_164843,NR_164844,NR_164845,NR_164846,XM_005248770,XM_006715615,XM_011536265,XM_011536266,XM_011536269,XM_011536271,XM_011536273,XM_011536275,XM_011536276,XM_017011557,XM_017011558,XM_017011559,XM_017011560,XM_017011562,XM_017011564,XM_017011565,XM_017011566,XM_017011567,XM_017011569,XM_017011570,XM_017011571,XM_017011572,XM_017011573,XM_017011574,XM_017011575,XM_017011576,XM_017011577,XM_017011579,XM_017011580,XM_017011581,XM_017011582,XM_017011583,XM_017011584,XM_017011585,XM_017011586,XM_017011587,XM_017011589,XM_017011590,XM_024446599,XM_024446600
9894	ENSG00000100726	NG_050910	NM_001351846,NM_016111,XM_011522773,XM_011522774,XM_011522775,XM_011522776,XM_011522777,XM_011522778,XR_001752042,XR_001752043,XR_001752044,XR_932982
9895	ENSG00000196663	NG_042851	NM_001172631,NM_014844
9896	ENSG00000112367	NG_007977	NM_014845,XM_011536281,XM_017011591,XM_017011592,XM_017011593
9897	ENSG00000164961	NG_012636	NM_001330609,NM_014846,XM_011517409,XM_017014113
9898	ENSG00000143569	-	NM_001127320,NM_001287815,NM_001287816,NM_001330730,NM_001375612,NM_001375614,NM_001375615,NM_001375616,NM_001375617,NM_001375618,NM_001375619,NM_001375620,NM_001375621,NM_001375622,NM_001375623,NM_001375624,NM_001375625,NM_001375626,NM_001375627,NM_001375628,NM_001375629,NM_001375630,NM_001375631,NM_014847,XM_005245667,XM_005245668,XM_005245669,XM_005245672,XM_005245673,XM_011510215,XM_017002972,XM_017002976,XM_017002982,XM_024451291
9899	ENSG00000185518	NG_051558	NM_001167580,NM_001323031,NM_001323032,NM_001323033,NM_001323034,NM_001323036,NM_001323037,NM_001323038,NM_001323039,NM_001323040,NM_014848,XM_005254998,XM_017022761,XM_017022762
9900	ENSG00000159164	NG_050966	NM_001278719,NM_001328674,NM_001328675,NM_014849
9901	ENSG00000196220	-	NM_001033117,NM_014850,XM_011534295,XM_011534296,XM_011534301,XM_011534303,XM_017007574,XM_017007575,XM_017007576,XM_017007579,XM_017007580,XM_024453842,XM_024453843,XM_024453844,XR_001740391
9902	ENSG00000011028	NG_033955	NM_006039,XM_011525543,XR_934628
9903	ENSG00000162413	-	NM_001324309,NM_014851
9904	ENSG00000122965	-	NM_001146698,NM_001146699,NM_016196,XM_017020280,XM_017020281,XR_001748932,XR_944848
9905	ENSG00000141258	NG_051965	NM_001098509,NM_001346700,NM_014853,XM_011524101,XM_011524102,XM_011524103,XM_011524104,XM_011524105,XM_011524106,XM_011524107,XM_011524108,XM_011524109,XM_011524110,XM_017025474,XM_017025475,XM_017025476,XR_002958096,XR_934127,XR_934129
9906	ENSG00000215790	-	NM_001199787,NM_182838
9907	ENSG00000242802	NG_028111	NM_001364858,NM_014855,NR_157345
9908	ENSG00000138757	-	NM_012297,NM_203504,NM_203505,XM_005263382,XM_005263383,XM_011532441,XM_017008876,XM_017008878,XM_017008879,XM_024454294
9909	ENSG00000198837	-	NM_001367466,NM_014856,XM_005245679,XM_011510219,XM_011510220,XM_011510221,XM_011510222,XR_426806
9910	ENSG00000152061	-	NM_001035230,NM_001243763,NM_001243764,NM_001243765,NM_001330989,NM_001366445,NM_001366446,NM_001366447,NM_001366448,NM_001366449,NM_001366450,NM_001366451,NM_001366452,NM_001366453,NM_001366454,NM_001366455,NM_001366456,NM_001366457,NM_014857,NR_158981,NR_158982,XM_005245681,XM_011510223,XM_017002996,XM_017002997,XM_024451295,XR_922004
9911	ENSG00000133069	-	NM_001242925,NM_001297611,NM_001297613,NM_001331034,NM_001375651,NM_001375652,NM_014858,XM_005245686
9912	ENSG00000006740	-	NM_001321164,NM_001321166,NM_001321167,NM_001321168,NM_014859,NR_135569,XM_005256891
9913	ENSG00000119760	-	NM_001282729,NM_001282730,NM_001282731,NM_001282732,NM_014860,XM_005264672,XR_939750
9914	ENSG00000064270	-	NM_001286527,NM_001291454,NM_014861,XM_011523486,XM_011523487,XR_001752045
9915	ENSG00000172379	-	NM_014862
9917	ENSG00000116199	-	NM_001324310,NM_001324311,NM_014864,XM_017003001,XM_017003002,XR_002958229
9918	ENSG00000010292	-	NM_014865
9919	ENSG00000148396	-	NM_001276418,NM_014866,XM_005266134,XM_011519246,XM_011519247,XM_011519248,XM_011519249,XM_011519250,XM_011519251,XM_011519252,XM_011519253,XM_011519254,XM_011519255,XM_011519256,XM_011519257,XM_011519258,XM_011519259,XM_011519260,XM_011519261,XM_011519262,XM_011519263,XM_011519264,XM_017015363,XM_017015364,XR_929881
9920	ENSG00000176595	-	NM_014867,XM_011534771,XM_011534772,XM_017014114,XM_017014115,XM_017014116,XM_017014117
9921	ENSG00000022840	-	NM_001330474,NM_014868,XM_005254013,XM_017020282,XM_017020283,XR_001748933,XR_001748934,XR_001748935,XR_001748936,XR_001748937,XR_001748938,XR_001748939,XR_243026,XR_944849
9922	ENSG00000144711	-	NM_001134382,NM_001330619,NM_001376938,NM_014869,XM_011534305,XM_011534306,XM_011534307,XM_011534308,XM_011534311,XM_011534312,XM_011534313,XM_011534314,XM_024453845,XM_024453846
9923	ENSG00000184677	-	NM_001083621,NM_001330398,NM_014870,XM_011542499,XM_011542500,XM_024451297,XR_946804,XR_946805
9924	ENSG00000135473	-	NM_001127460,NM_001166279,NM_014871
9925	ENSG00000168795	-	NM_014872,XM_005251634
9926	ENSG00000123684	-	NM_001320808,NM_001375841,NM_001375842,NM_001375844,NM_001375845,NM_014873,XM_011510229,XM_017003004
9927	ENSG00000116688	NG_007945	NM_001127660,NM_014874,XM_005263543,XM_005263545,XM_005263547,XM_005263548,XM_024451299
9928	ENSG00000118193	NG_042074	NM_001305792,NM_014875,XM_011510231,XM_011510232,XM_011510233,XM_011510235,XM_011510236,XM_017003005,XM_017003006,XM_017003007
9929	ENSG00000100221	-	NM_001360235,NM_001360236,NM_014876,XM_005261878
9931	ENSG00000198265	-	NM_001330447,NM_014877,XM_005257888,XM_006722214,XM_006722215,XM_006722216,XM_011525544,XM_017025477,XM_017025478,XR_001752712,XR_001752713,XR_001752714
9933	ENSG00000080608	-	NM_014878
9934	ENSG00000174944	-	NM_001081455,NM_014879,XM_005247922,XM_005247923,XM_011513340,XM_017007583
9935	ENSG00000204103	NG_023378	NM_005461
9936	ENSG00000241399	-	NM_001198763,NM_001198764,NM_014880
9937	ENSG00000198924	-	NM_001271816,NM_014881,XM_006718090,XM_011540429
9938	ENSG00000163219	-	NM_001007231,NM_001166276,NM_001166277,NM_001364819,NM_001364820,NM_001364821,NM_014882,XM_011533207,XM_011533208,XM_011533209,XM_011533210,XM_017005423,XM_017005424,XM_017005425,XM_017005426,XM_017005427,XM_017005428
9939	ENSG00000265241	NG_032654	NM_005105
9940	ENSG00000008226	NG_023237	NM_001321153,NM_007335,NM_007337,XM_006713438,XM_006713439,XM_006713440,XM_011534317,XM_011534318,XR_427301,XR_427302,XR_940527
9941	ENSG00000157036	-	NM_001145464,NM_005107,NR_134938,NR_153322,NR_153323,NR_153324,NR_153325,NR_153326,NR_153327,NR_153328,NR_153329,NR_153330,XM_005265635,XM_006713442,XM_017007584,XM_017007585,XM_017007586,XM_017007587,XM_017007588,XM_017007589,XM_017007590,XM_017007591,XM_017007592,XM_017007593,XM_017007594,XM_024453847,XM_024453848,XM_024453849,XR_940528,XR_940529,XR_940530
9942	ENSG00000093217	-	NM_001349178,NM_001349179,NM_001349180,NM_005108,NR_146068,XM_011534325,XM_011534327,XM_011534328,XM_011534329,XM_011534330,XM_017007595,XM_017007596,XM_017007597,XM_017007599,XM_024453850,XR_001740393,XR_001740394
9943	ENSG00000172939	-	NM_005109,XM_005265638,XM_011534331,XM_017007601,XM_024453851,XM_024453852,XR_001740396,XR_001740397
9945	ENSG00000131459	-	NM_005110
9946	ENSG00000205758	-	NM_145858
9947	ENSG00000155495	NG_015871	NM_005462,XM_011531418
9948	ENSG00000071127	NG_027876	NM_005112,NM_017491,XM_017008880
9949	ENSG00000101935	NG_016469	NM_001025580,NM_001171689,NM_015365
9950	ENSG00000066455	NG_023248	NM_005113,XM_011537420
9951	ENSG00000182601	-	NM_006040
9953	ENSG00000125430	-	NM_006041,NR_130138,XM_017025479
9955	ENSG00000153976	-	NM_006042,XM_011524114,XM_017025480
9956	ENSG00000122254	-	NM_006043,XM_011546001,XM_011546002
9957	ENSG00000002587	-	NM_005114,XM_011513913
9958	ENSG00000135655	-	NM_001252078,NM_001252079,NM_001351159,NM_001351160,NM_001351161,NM_001351162,NM_001351163,NM_001351164,NM_001351165,NM_001351166,NM_006313,NR_147078,NR_147079,NR_147080,NR_147081,NR_147082
9960	ENSG00000140455	-	NM_001256702,NM_006537,NR_046341,NR_046342,XM_017022763,XM_017022764,XM_017022765,XM_017022766,XM_017022767,XM_017022768
9961	ENSG00000013364	-	NM_001293204,NM_001293205,NM_005115,NM_017458
9962	ENSG00000089057	NG_029959	NM_005116,NM_203327
9963	ENSG00000170482	-	NM_005847,NM_152685,XM_005272148,XM_005272149,XM_006714741,XM_011543765,XM_011543766,XM_011543767,XM_011543768,XM_011543769
9965	ENSG00000162344	-	NM_005117
9966	ENSG00000181634	NG_011488	NM_001204344,NM_005118
9967	ENSG00000054118	-	NM_001321471,NM_001321473,NM_005119,XM_024451301,XM_024451302,XR_002958230,XR_002958231
9968	ENSG00000184634	NG_012808	NM_005120
9969	ENSG00000108510	NG_046948	NM_005121,XM_011525551,XM_011525552,XM_011525553
9970	ENSG00000143257	NG_029113	NM_001077469,NM_001077470,NM_001077471,NM_001077472,NM_001077473,NM_001077474,NM_001077475,NM_001077476,NM_001077477,NM_001077478,NM_001077479,NM_001077480,NM_001077481,NM_001077482,NM_005122,XM_005245693,XM_005245694,XM_005245697,XM_011510237
9971	ENSG00000012504	NG_029843	NM_001206977,NM_001206978,NM_001206979,NM_001206992,NM_001206993,NM_005123,NR_135146,XM_006719719,XM_011539040,XM_011539041,XM_011539042
9972	ENSG00000124789	-	NM_001278209,NM_001278210,NM_005124,XM_005249507,XM_006715290,XM_006715291,XM_011515028,XM_017011594
9973	ENSG00000173992	NG_008733	NM_005125,XR_247219
9975	ENSG00000174738	-	NM_001145425,NM_005126,NR_110524,XM_006713451
9976	ENSG00000110852	-	NM_005127
9978	ENSG00000100387	-	NM_014248
9980	ENSG00000142197	-	NM_001320714,NM_005128,XM_017028509,XR_001754923,XR_937581
9982	ENSG00000137440	-	NM_005130
9984	ENSG00000079134	-	NM_005131,XM_011525772,XM_011525773,XM_011525774,XM_017026104,XM_024451292
9985	ENSG00000100918	-	NM_001048205,NM_005132,XM_011537421,XM_017021841,XM_024449792,XM_024449793,XM_024449794,XM_024449795,XM_024449796,XR_001750616,XR_001750618,XR_002957574,XR_002957575,XR_002957576,XR_002957577,XR_002957578,XR_002957579,XR_002957580
9986	ENSG00000173653	-	NM_001032279,NM_005133
9987	ENSG00000152795	NG_029681	NM_001207000,NM_031372,NR_003249
9988	ENSG00000135164	NG_029536	NM_001142326,NM_001142327,NM_021145,NR_024549,NR_024550,XM_011516735,XM_011516737,XM_011516739,XM_017012865,XM_017012866,XM_017012867,XM_017012868,XM_017012869,XM_017012870,XM_017012871,XM_017012872,XM_017012873,XM_017012874,XM_017012875,XM_017012876,XM_017012877,XM_017012878,XM_024447011,XM_024447012,XM_024447013,XM_024447014,XM_024447015,XM_024447016,XM_024447017,XM_024447018,XM_024447019,XM_024447020,XM_024447021,XM_024447022,XM_024447023,XM_024447024,XM_024447025,XM_024447026,XR_001744895,XR_002956500
9989	ENSG00000154845	-	NM_001042388,NM_001382562,NM_005134,NR_052003,NR_168403,NR_168404,XM_011525775,XM_011525776,XM_011525779,XM_017026105,XM_017026107,XR_001753307
9990	ENSG00000140199	NG_007951	NM_001042494,NM_001042495,NM_001042496,NM_001042497,NM_001365088,NM_005135,NM_133647,XM_006720793,XM_011522269,XR_931960
9991	ENSG00000119314	-	NM_001163788,NM_001163790,NM_001244896,NM_001244897,NM_001244898,NM_001375918,NM_001375920,NM_005156,XM_011519265,XM_024447722
9992	ENSG00000159197	NG_008804	NM_172201
9993	ENSG00000070413	NG_021333	NM_001173533,NM_001173534,NM_001184781,NM_005137,NR_033674,XR_001755405,XR_001755406
9994	ENSG00000118412	-	NM_001137667,NM_001137668,NM_012115
9997	ENSG00000284194	NG_016235	NM_001169109,NM_001169110,NM_001169111,NM_005138
10000	ENSG00000117020	NG_029764	NM_001206729,NM_001370074,NM_005465,NM_181690,XM_011544014,XM_016999985,XM_024446000,XM_024446892,XM_024447938
10001	ENSG00000133997	-	NM_001284209,NM_001284210,NM_001284211,NM_005466
10002	ENSG00000278570	NG_009113	NM_014249,NM_016346
10003	ENSG00000077616	-	NM_001300930,NM_005467,XM_017017043,XM_017017044,XM_017017045,XM_017017046,XR_001747707,XR_001747708,XR_001747709,XR_001747710,XR_001747711
10004	ENSG00000168060	-	NM_005468,XM_011544706,XM_011544707,XM_011544708,XM_011544711,XM_011544712,XR_001747712,XR_001747713,XR_002957110,XR_002957111,XR_949724,XR_949727,XR_949728,XR_949729,XR_949730
10005	ENSG00000101473	-	NM_005469,XM_005260239,XM_011528480,XR_001754105,XR_244130
10006	ENSG00000136754	NG_030025	NM_001012750,NM_001012751,NM_001012752,NM_001178116,NM_001178119,NM_001178120,NM_001178121,NM_001178122,NM_001178123,NM_001178124,NM_001178125,NM_001348029,NM_001348030,NM_001348031,NM_001348032,NM_001348033,NM_001348034,NM_005470,NR_145410,XM_005252332,XM_005252333,XM_011519289,XM_017015459
10007	ENSG00000113552	-	NM_005471,XM_005268348,XM_006714747,XM_011537537,XM_024454319
10008	ENSG00000175538	NG_011833	NM_005472,XM_011544713,XM_017017047,XM_017017048,XM_017017049,XM_017017051,XM_017017052
10009	ENSG00000177485	NG_021334	NM_001184742,NM_006777
10010	ENSG00000136560	-	NM_001199135,NM_004180,NM_133484,XM_005246207,XM_017003093,XM_017003094,XM_017003095,XM_017003096,XM_017003097,XM_024452333,XM_024452335,XM_024452337
10011	ENSG00000213523	NG_031847	NM_001035235,NM_001253764,NR_045586,NR_045587
10013	ENSG00000094631	NG_012560	NM_001321225,NM_001321226,NM_001321227,NM_001321228,NM_001321229,NM_001321230,NM_001321231,NM_006044,NR_135591,NR_135592,NR_135593,XM_017029187,XR_001755632,XR_002958755,XR_002958756,XR_002958757,XR_246712
10014	ENSG00000108840	-	NM_001015053,NM_001382393,NM_005474,XM_005256905,XM_011524149,XM_011524150,XM_017023988,XM_017023989,XM_017023990,XM_017023991,XM_017023992,XM_017023993,XM_017023996
10015	ENSG00000170248	NG_033961	NM_001162429,NM_001256192,NM_013374,XM_011533252,XM_011533253,XM_017005488
10016	ENSG00000249915	-	NM_001267556,NM_001267557,NM_001267558,NM_001267559,NM_013232,NR_073609
10017	ENSG00000137875	-	NM_001306168,NM_020396
10018	ENSG00000153094	NG_029006	NM_001204106,NM_001204107,NM_001204108,NM_001204109,NM_001204110,NM_001204111,NM_001204112,NM_001204113,NM_006538,NM_138621,NM_138622,NM_138623,NM_138624,NM_138625,NM_138626,NM_138627,NM_207002,NM_207003,XM_005263550,XM_005263551,XM_005263552,XM_005263553,XM_005263554,XM_005263555,XM_005263556,XM_005263557,XM_005263559,XM_005263561,XM_011510461,XM_011510464,XM_017003101,XM_017003102,XR_001738579,XR_001738580,XR_002958776,XR_244801,XR_922828,XR_922829
10019	ENSG00000111252	NG_021216	NM_001291424,NM_005475,XM_005253818,XM_005253819,XM_006719180,XM_011537719,XM_011537720,XM_011537721,XM_024448790,XR_001748535,XR_001748536,XR_002957278
10020	ENSG00000159921	NG_008246	NM_001128227,NM_001190383,NM_001190384,NM_001190388,NM_001374797,NM_001374798,NM_005476,XM_005251334,XM_017014167
10021	ENSG00000138622	NG_009063	NM_005477,XM_011521148
10022	ENSG00000172410	-	NM_005478
10023	ENSG00000165879	-	NM_005479
10024	ENSG00000135451	-	NM_001100620,NM_001278324,NM_005480,XM_006719181,XM_011537723,XM_011537724,XR_944445,XR_944446
10025	ENSG00000175221	-	NM_005481,XM_017026120,XM_017026121
10026	ENSG00000142892	-	NM_005482
10029	ENSG00000234059	-	-
10036	ENSG00000167670	-	NM_005483,XM_011527605,XM_011527606,XM_011527607,XR_936135
10038	ENSG00000129484	NG_033959	NM_001042618,NM_005484,XM_005267247,XM_017020912
10039	ENSG00000041880	-	NM_001003931,NM_001370239,NM_001370240,NM_005485,XM_017005490
10040	ENSG00000141198	-	NM_001321173,NM_001321174,NM_001321175,NM_001321176,NM_005486,XM_017024002,XR_001752397,XR_002957936,XR_243612
10042	ENSG00000100281	-	NM_001003681,NM_001362972,NR_027780,XM_006724101,XM_006724102
10043	ENSG00000100284	-	NM_001135729,NM_001135730,NM_001135732,NM_005488,NR_024194,NR_024195,NR_156428,XM_011529818,XM_011529820,XM_017028529
10044	ENSG00000095370	NG_030563	NM_001142531,NM_001142532,NM_001142533,NM_001142534,NM_001252334,NM_005489,NM_170600
10045	ENSG00000125731	-	NM_001386583,NM_001386584,NM_001386585,NM_001386586,NM_001386587,NM_001386588,NM_001386589,NM_005490,XM_005259467,XM_005259472,XM_006722602,XM_011527608,XM_011527609,XM_017026123,XM_017026124
10046	ENSG00000013619	NG_017093	NM_001177465,NM_001177466,NM_005491,XM_006724802,XM_006724803,XM_011531092,XM_011531093,XM_011531095,XM_017029188,XM_017029189,XM_024452317,XM_024452318,XM_024452319,XM_024452320
10047	ENSG00000125815	-	NM_001281730,NM_005492,XR_001754109,XR_937015,XR_937016,XR_937017,XR_937018,XR_937019
10048	ENSG00000010017	-	NM_005493,XM_006714945,XM_011514205,XM_017010149
10049	ENSG00000105993	NG_032573	NM_001363676,NM_005494,NM_058246,XM_005249515,XM_005249516,XM_006715823,XM_011515704
10050	ENSG00000146039	-	NM_001286121,NM_005495,XM_011514211,XM_011514213,XM_011514214,XM_011514215,XM_011514217,XM_011514218,XM_011514219,XM_017010150,XM_017010151,XM_024446294,XM_024446295,XM_024446296,XM_024446297,XR_925996,XR_925997,XR_925998,XR_925999
10051	ENSG00000113810	NG_050987	NM_001002800,NM_001288753,NM_005496,XM_006713459,XM_011512311,XM_011512312,XM_017005491
10052	ENSG00000182963	-	NM_001080383,NM_005497,XM_005256920,XM_024450525,XM_024450526,XM_024450527,XR_934346
10053	ENSG00000129354	-	NM_001300887,NM_005498,XM_024451303,XM_024451304
10054	ENSG00000126261	-	NM_005499,XM_005258404,XM_006722962,XM_011526304,XM_017026134,XM_024451305,XR_001753571,XR_935712
10055	ENSG00000142230	-	NM_001145713,NM_001145714,NM_005500,NR_027280
10056	ENSG00000116120	-	NM_005687,NR_130154,XM_006712169,XM_011510466,XM_017003110,XM_024452492
10057	ENSG00000114770	NG_047115	NM_001023587,NM_001320032,NM_005688,NR_135125,XM_005247058,XM_005247059,XM_011512314,XM_011512315,XM_017005492,XM_017005493,XM_017005494,XM_024453286
10058	ENSG00000115657	NG_032110	NM_001349828,NM_005689
10059	ENSG00000087470	NG_012219	NM_001278463,NM_001278464,NM_001278465,NM_001278466,NM_001330380,NM_005690,NM_012062,NM_012063,XM_011520543,XM_011520544,XM_017018663,XM_017018664,XM_017018665
10060	ENSG00000069431	NG_012819	NM_001377273,NM_001377274,NM_005691,NM_020297,XM_005253288,XM_005253289,XM_005253290,XM_006719025,XM_011520545
10061	ENSG00000033050	-	NM_007189
10062	ENSG00000025434	NG_030392	NM_001130101,NM_001130102,NM_001251934,NM_001251935,NM_001363595,NM_005693,XM_005252706,XM_005252713,XM_005252718,XM_011519805,XM_011519806,XM_011519807,XM_011519808,XM_017017056,XM_017017057,XM_024448284,XM_024448285,XM_024448286,XM_024448287,XM_024448288,XM_024448289,XM_024448290,XM_024448291,XM_024448292,XM_024448293,XM_024448294,XM_024448295,XM_024448296,XM_024448297,XM_024448298,XM_024448299,XM_024448300,XM_024448302
10063	ENSG00000138495	-	NM_001382002,NM_001382003,NM_005694,NR_167771,NR_167772
10066	ENSG00000140497	-	NM_001320778,NM_005697,XM_017021856
10067	ENSG00000116521	-	NM_005698,NM_052837
10068	ENSG00000137496	NG_029021	NM_001039659,NM_001039660,NM_001145055,NM_001145057,NM_005699,NM_173042,NM_173044,XM_017017059,XM_017017060,XM_017017061,XM_017017062,XM_017017063,XM_024448303,XM_024448304
